Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Sector
2023-01-02,4488.0,4516.7001953125,4446.0,4454.35009765625,4411.58154296875,246577,APOLLOHOSP,Pharma
2023-01-03,4467.0,4508.9501953125,4425.10009765625,4490.89990234375,4447.78076171875,430096,APOLLOHOSP,Pharma
2023-01-04,4495.0,4514.10009765625,4425.0,4433.2998046875,4390.73388671875,414977,APOLLOHOSP,Pharma
2023-01-05,4455.5,4455.5,4356.0,4429.0498046875,4386.52490234375,468816,APOLLOHOSP,Pharma
2023-01-06,4442.0498046875,4474.2998046875,4369.0,4387.4501953125,4345.32470703125,299640,APOLLOHOSP,Pharma
2023-01-09,4424.35009765625,4452.14990234375,4381.0498046875,4407.7001953125,4365.3798828125,407803,APOLLOHOSP,Pharma
2023-01-10,4410.0,4489.0,4406.0,4466.64990234375,4423.763671875,557940,APOLLOHOSP,Pharma
2023-01-11,4474.0,4482.4501953125,4336.0498046875,4360.60009765625,4318.73193359375,462687,APOLLOHOSP,Pharma
2023-01-12,4370.9501953125,4382.39990234375,4325.25,4359.75,4317.890625,207917,APOLLOHOSP,Pharma
2023-01-13,4365.0,4370.0,4268.0498046875,4335.5498046875,4293.92236328125,366497,APOLLOHOSP,Pharma
2023-01-16,4364.25,4364.25,4285.0,4294.64990234375,4253.41552734375,210854,APOLLOHOSP,Pharma
2023-01-17,4316.2001953125,4336.4501953125,4275.0,4322.85009765625,4281.3447265625,294500,APOLLOHOSP,Pharma
2023-01-18,4337.0,4352.0,4305.0,4339.7998046875,4298.130859375,331806,APOLLOHOSP,Pharma
2023-01-19,4339.7998046875,4339.7998046875,4285.64990234375,4318.14990234375,4276.689453125,162244,APOLLOHOSP,Pharma
2023-01-20,4302.0,4322.4501953125,4264.2001953125,4285.25,4244.10498046875,242706,APOLLOHOSP,Pharma
2023-01-23,4294.39990234375,4353.5,4286.89990234375,4335.4501953125,4293.82373046875,161350,APOLLOHOSP,Pharma
2023-01-24,4349.9501953125,4349.9501953125,4290.7998046875,4305.0,4263.666015625,178860,APOLLOHOSP,Pharma
2023-01-25,4314.9501953125,4318.0,4194.0,4224.35009765625,4183.791015625,423714,APOLLOHOSP,Pharma
2023-01-27,4228.0,4285.35009765625,4192.10009765625,4244.14990234375,4203.3994140625,421866,APOLLOHOSP,Pharma
2023-01-30,4236.5,4260.0,4123.0,4237.7001953125,4197.0126953125,623069,APOLLOHOSP,Pharma
2023-01-31,4239.5,4303.75,4127.0498046875,4255.89990234375,4215.03662109375,671038,APOLLOHOSP,Pharma
2023-02-01,4275.0,4352.0,4211.5,4262.64990234375,4221.72216796875,321331,APOLLOHOSP,Pharma
2023-02-02,4262.0,4262.0,4170.0,4231.5,4190.87109375,479256,APOLLOHOSP,Pharma
2023-02-03,4245.0,4259.7998046875,4158.0,4251.60009765625,4210.77880859375,413966,APOLLOHOSP,Pharma
2023-02-06,4211.0,4335.64990234375,4189.64990234375,4320.7001953125,4279.2158203125,257669,APOLLOHOSP,Pharma
2023-02-07,4305.0,4360.0,4271.35009765625,4315.60009765625,4274.1640625,319090,APOLLOHOSP,Pharma
2023-02-08,4320.0,4404.2998046875,4302.5498046875,4391.25,4349.087890625,250175,APOLLOHOSP,Pharma
2023-02-09,4347.35009765625,4404.4501953125,4325.0,4389.2998046875,4347.15673828125,284239,APOLLOHOSP,Pharma
2023-02-10,4385.39990234375,4425.2998046875,4350.25,4416.25,4373.84765625,359807,APOLLOHOSP,Pharma
2023-02-13,4430.39990234375,4439.60009765625,4328.0,4358.64990234375,4316.80126953125,272935,APOLLOHOSP,Pharma
2023-02-14,4380.4501953125,4380.4501953125,4251.0498046875,4268.85009765625,4227.86279296875,339582,APOLLOHOSP,Pharma
2023-02-15,4170.0,4514.0,4170.0,4487.89990234375,4444.81005859375,2724361,APOLLOHOSP,Pharma
2023-02-16,4509.9501953125,4668.0,4500.14990234375,4643.14990234375,4598.5693359375,1419679,APOLLOHOSP,Pharma
2023-02-17,4640.14990234375,4668.9501953125,4576.0,4614.7001953125,4570.392578125,408098,APOLLOHOSP,Pharma
2023-02-20,4593.0,4649.9501953125,4575.35009765625,4610.60009765625,4566.33251953125,232327,APOLLOHOSP,Pharma
2023-02-21,4611.0,4640.0,4491.0,4502.0498046875,4458.82373046875,490637,APOLLOHOSP,Pharma
2023-02-22,4505.0,4535.9501953125,4440.0,4449.10009765625,4406.3828125,333978,APOLLOHOSP,Pharma
2023-02-23,4471.35009765625,4518.2998046875,4401.0,4448.0498046875,4405.3427734375,443522,APOLLOHOSP,Pharma
2023-02-24,4455.0498046875,4486.0,4396.89990234375,4470.64990234375,4433.70654296875,358946,APOLLOHOSP,Pharma
2023-02-27,4485.0,4494.75,4415.0498046875,4439.75,4403.06103515625,215703,APOLLOHOSP,Pharma
2023-02-28,4449.0,4473.39990234375,4361.2998046875,4401.64990234375,4365.2763671875,312308,APOLLOHOSP,Pharma
2023-03-01,4401.64990234375,4446.0,4337.25,4413.7998046875,4377.32568359375,287008,APOLLOHOSP,Pharma
2023-03-02,4429.0,4450.2001953125,4381.35009765625,4402.2001953125,4365.82177734375,313250,APOLLOHOSP,Pharma
2023-03-03,4416.75,4445.0,4393.89990234375,4408.2998046875,4371.87109375,168868,APOLLOHOSP,Pharma
2023-03-06,4416.0,4488.89990234375,4412.0498046875,4421.10009765625,4384.56591796875,242661,APOLLOHOSP,Pharma
2023-03-08,4414.89990234375,4441.2001953125,4360.0,4376.0498046875,4339.8876953125,246734,APOLLOHOSP,Pharma
2023-03-09,4399.0,4538.25,4385.14990234375,4418.14990234375,4381.64013671875,684685,APOLLOHOSP,Pharma
2023-03-10,4399.7001953125,4399.7001953125,4291.64990234375,4317.25,4281.57373046875,328154,APOLLOHOSP,Pharma
2023-03-13,4327.0,4435.9501953125,4322.0,4345.0,4309.09423828125,496455,APOLLOHOSP,Pharma
2023-03-14,4345.0,4354.75,4275.0,4299.60009765625,4264.06982421875,279237,APOLLOHOSP,Pharma
2023-03-15,4334.75,4367.9501953125,4309.2998046875,4328.7998046875,4293.0283203125,279479,APOLLOHOSP,Pharma
2023-03-16,4330.9501953125,4370.0,4266.0,4319.0498046875,4283.3583984375,300181,APOLLOHOSP,Pharma
2023-03-17,4340.0,4376.2001953125,4296.7001953125,4346.5,4310.58154296875,368653,APOLLOHOSP,Pharma
2023-03-20,4322.0,4353.89990234375,4195.0,4313.0,4277.359375,563835,APOLLOHOSP,Pharma
2023-03-21,4320.0,4353.89990234375,4266.0,4274.0,4238.68115234375,239304,APOLLOHOSP,Pharma
2023-03-22,4275.0498046875,4295.0,4211.10009765625,4285.10009765625,4249.689453125,302705,APOLLOHOSP,Pharma
2023-03-23,4276.0,4299.35009765625,4243.5498046875,4273.0498046875,4237.7392578125,233054,APOLLOHOSP,Pharma
2023-03-24,4277.5,4354.64990234375,4261.0,4283.35009765625,4247.9541015625,354933,APOLLOHOSP,Pharma
2023-03-27,4304.7001953125,4407.89990234375,4277.0,4318.10009765625,4282.41650390625,495895,APOLLOHOSP,Pharma
2023-03-28,4334.7998046875,4343.5,4245.0498046875,4333.60009765625,4297.7880859375,343628,APOLLOHOSP,Pharma
2023-03-29,4333.60009765625,4380.0,4311.10009765625,4363.0,4326.9453125,250790,APOLLOHOSP,Pharma
2023-03-31,4384.85009765625,4400.9501953125,4299.9501953125,4310.89990234375,4275.27587890625,465663,APOLLOHOSP,Pharma
2023-04-03,4343.5,4343.9501953125,4220.14990234375,4234.35009765625,4199.35888671875,493574,APOLLOHOSP,Pharma
2023-04-05,4250.0,4250.0,4168.0,4200.9501953125,4166.23486328125,622533,APOLLOHOSP,Pharma
2023-04-06,4217.0,4225.0,4183.14990234375,4201.9501953125,4167.2265625,286725,APOLLOHOSP,Pharma
2023-04-10,4215.0,4243.64990234375,4187.2998046875,4237.0,4201.98681640625,323560,APOLLOHOSP,Pharma
2023-04-11,4263.0,4286.7998046875,4221.14990234375,4271.2998046875,4236.00341796875,284178,APOLLOHOSP,Pharma
2023-04-12,4287.7001953125,4328.9501953125,4266.5,4320.2001953125,4284.5,304498,APOLLOHOSP,Pharma
2023-04-13,4329.0,4481.10009765625,4320.2998046875,4398.2998046875,4361.95361328125,1257056,APOLLOHOSP,Pharma
