Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Sector
2023-01-02,196.5,196.9499969482422,195.25,196.52499389648438,183.37893676757812,5559512,WIPRO,IT
2023-01-03,196.52499389648438,198.875,195.85000610351562,198.52499389648438,185.24513244628906,5994422,WIPRO,IT
2023-01-04,198.75,198.75,194.3000030517578,194.85000610351562,181.8159942626953,8926522,WIPRO,IT
2023-01-05,195.0,196.10000610351562,191.875,193.4499969482422,180.50962829589844,9568980,WIPRO,IT
2023-01-06,193.5,194.39999389648438,190.6999969482422,191.0,178.22352600097656,8484754,WIPRO,IT
2023-01-09,193.0,196.5,192.5500030517578,195.89999389648438,182.7957305908203,7347432,WIPRO,IT
2023-01-10,196.0,196.9499969482422,193.6750030517578,196.52499389648438,183.37893676757812,7879496,WIPRO,IT
2023-01-11,196.5,198.0,195.75,196.9250030517578,183.75218200683594,7656600,WIPRO,IT
2023-01-12,197.875,198.9499969482422,195.25,197.25,184.05545043945312,9510500,WIPRO,IT
2023-01-13,198.0,198.3000030517578,193.25,196.9499969482422,183.77549743652344,13621860,WIPRO,IT
2023-01-16,195.0,200.5,194.5,199.3000030517578,185.9683074951172,23867444,WIPRO,IT
2023-01-17,200.02499389648438,201.02499389648438,196.875,198.1750030517578,184.9185791015625,14310032,WIPRO,IT
2023-01-18,199.25,201.9250030517578,199.0,201.60000610351562,188.1144561767578,16080426,WIPRO,IT
2023-01-19,201.0500030517578,202.0,199.375,201.6999969482422,188.207763671875,9447456,WIPRO,IT
2023-01-20,201.77499389648438,202.6999969482422,200.64999389648438,201.5749969482422,188.09112548828125,9265614,WIPRO,IT
2023-01-23,202.60000610351562,203.875,201.25,203.5,189.88735961914062,8815290,WIPRO,IT
2023-01-24,204.1999969482422,205.10000610351562,202.5749969482422,203.3000030517578,190.16798400878906,9552640,WIPRO,IT
2023-01-25,202.5,202.9499969482422,200.0,200.77499389648438,187.8060760498047,6355554,WIPRO,IT
2023-01-27,200.77499389648438,201.8000030517578,197.10000610351562,199.02499389648438,186.16912841796875,7410134,WIPRO,IT
2023-01-30,199.02499389648438,202.39999389648438,197.52499389648438,201.125,188.1334686279297,7261256,WIPRO,IT
