Date,APOLLOHOSP,AXISBANK,CIPLA,DIVISLAB,DRREDDY,HCLTECH,HDFCBANK,ICICIBANK,INFY,KOTAKBANK,NIFTY50,SBIN,SUNPHARMA,TCS,TECHM,WIPRO
2023-01-02,4411.58251953125,939.112060546875,1042.268310546875,3310.155029296875,830.2246704101562,918.427001953125,783.6779174804688,880.6473388671875,1397.7020263671875,363.890869140625,18197.44921875,578.9995727539062,962.1012573242188,2932.793701171875,920.3868408203125,183.37893676757812
2023-01-03,4447.78125,959.7574462890625,1047.0859375,3330.127685546875,830.8715209960938,920.1058349609375,788.8023681640625,879.5739135742188,1396.372314453125,365.4460754394531,18232.55078125,579.188720703125,973.7777709960938,2977.66552734375,933.424560546875,185.24514770507812
2023-01-04,4390.73388671875,954.9202880859375,1038.326904296875,3371.889404296875,833.841552734375,915.9088134765625,774.7041625976562,877.3782348632812,1370.922119140625,363.03350830078125,18042.94921875,572.379150390625,968.9527587890625,2980.633056640625,930.2335205078125,181.8159637451172
2023-01-05,4386.52392578125,947.0411376953125,1059.202392578125,3397.7021484375,842.467041015625,922.53564453125,769.72412109375,857.9102783203125,1352.9462890625,362.9437561035156,17992.150390625,572.2845458984375,980.6292114257812,2977.440673828125,922.34716796875,180.50961303710938
2023-01-06,4345.32373046875,937.4166870117188,1047.523681640625,3371.251220703125,837.4191284179688,912.5513305664062,767.1739501953125,849.0789184570312,1328.458984375,356.2643127441406,17859.44921875,568.075927734375,973.3917846679688,2887.922119140625,899.0980834960938,178.2235107421875
2023-01-09,4365.3798828125,956.216796875,1058.3265380859375,3395.395751953125,849.6224365234375,943.1668701171875,768.6654663085938,852.2503662109375,1361.4296875,361.2689208984375,18101.19921875,574.7435913085938,981.2564697265625,2985.399169921875,925.6292724609375,182.7957305908203
2023-01-10,4423.763671875,949.63427734375,1049.810791015625,3436.961181640625,840.7420043945312,939.9861450195312,754.6154174804688,840.5402221679688,1347.947998046875,358.0089416503906,17914.150390625,562.8742065429688,976.4315185546875,2955.229248046875,914.1415405273438,183.37893676757812
2023-01-11,4318.732421875,947.2406005859375,1019.5438232421875,3348.23583984375,835.4882202148438,931.9898071289062,765.4898071289062,845.3706665039062,1349.32373046875,359.26507568359375,17895.69921875,564.340087890625,992.0161743164062,2993.267333984375,917.514892578125,183.75216674804688
2023-01-12,4317.89013671875,933.078125,1032.73095703125,3244.05322265625,845.0352172851562,946.8780517578125,769.5797729492188,839.857177734375,1357.8988037109375,354.80877685546875,17858.19921875,562.6377563476562,996.6964111328125,2998.34814453125,913.138671875,184.05543518066406
2023-01-13,4293.92236328125,931.6818237304688,1039.1541748046875,3289.593017578125,846.9563598632812,952.3119506835938,770.1812133789062,852.3479614257812,1379.03857421875,354.96832275390625,17956.599609375,567.5556640625,995.4901123046875,3034.496826171875,914.597412109375,183.77549743652344
2023-01-16,4253.41552734375,910.7373657226562,1031.222412109375,3271.43603515625,848.06396484375,966.3605346679688,762.7952880859375,844.3460693359375,1399.077880859375,355.86553955078125,17894.849609375,570.2984619140625,999.2053833007812,3066.225341796875,943.1343994140625,185.9683074951172
2023-01-17,4281.34521484375,915.2752685546875,1040.468017578125,3285.372802734375,853.10205078125,981.6908569335938,774.1508178710938,844.2484741210938,1411.91748046875,358.4276428222656,18053.30078125,560.79345703125,996.5516967773438,3107.012939453125,953.7105102539062,184.9185791015625
2023-01-18,4298.13232421875,921.55859375,1034.920654296875,3325.711181640625,855.5721435546875,985.3132934570312,787.81591796875,848.493408203125,1417.32861328125,358.716796875,18165.349609375,559.3748779296875,1003.6925659179688,3117.68115234375,955.807373046875,188.1144561767578
2023-01-19,4276.68896484375,926.2462768554688,1036.331787109375,3319.33154296875,849.2695922851562,990.885498046875,791.087890625,845.224365234375,1411.3671875,352.37628173828125,18107.849609375,557.861572265625,1004.1270751953125,3102.138427734375,960.3204345703125,188.207763671875
2023-01-20,4244.10595703125,928.0913696289062,1025.2371826171875,3281.201416015625,852.8766479492188,987.676025390625,799.195556640625,849.3228759765625,1399.1236572265625,351.49896240234375,18027.650390625,560.0841064453125,994.2839965820312,3092.94189453125,954.1207275390625,188.0911102294922
2023-01-23,4293.8232421875,930.2357177734375,1034.093505859375,3322.963134765625,850.377197265625,999.622802734375,805.041748046875,850.6402587890625,1419.7132568359375,355.65618896484375,18118.55078125,567.8867797851562,1012.5706787109375,3140.58056640625,971.26123046875,189.88734436035156
2023-01-24,4263.66552734375,907.7951049804688,1033.7041015625,3293.862548828125,833.6944580078125,1014.4674072265625,815.8199462890625,849.7131958007812,1423.2900390625,350.9705810546875,18118.30078125,562.1175537109375,1004.2716674804688,3160.26171875,976.09326171875,190.16798400878906
2023-01-25,4183.79052734375,889.9921875,1007.5244750976562,3273.8896484375,823.539794921875,1001.0047607421875,793.2772827148438,834.6364135742188,1415.1275634765625,348.8869934082031,17891.94921875,537.8585815429688,1003.6444091796875,3154.238037109375,958.3602294921875,187.80609130859375
2023-01-27,4203.39990234375,871.44140625,1019.2031860351562,3324.6806640625,845.7017211914062,994.6300048828125,777.4708862304688,797.4569702148438,1393.2540283203125,341.5694885253906,17604.349609375,510.6677551269531,1006.8770751953125,3137.0400390625,939.1683959960938,186.1691131591797
2023-01-30,4197.0126953125,869.5463256835938,1006.6973876953125,3304.020751953125,848.60302734375,1011.70361328125,776.6769409179688,803.6046752929688,1411.275634765625,344.1914367675781,17648.94921875,509.01263427734375,1014.8865356445312,3157.824951171875,944.6387939453125,188.13348388671875
2023-01-31,4215.037109375,869.297119140625,990.6878662109375,3253.86767578125,847.6915283203125,1000.514404296875,771.5524291992188,811.8018188476562,1406.64404296875,345.1385498046875,17662.150390625,523.4829711914062,998.2886962890625,3088.895263671875,925.4013671875,186.5432891845703
2023-02-01,4221.72216796875,854.9849853515625,1004.4102783203125,3294.64794921875,853.0530395507812,1009.3411254882812,783.1246337890625,827.4640502929688,1422.5562744140625,347.8701171875,17616.30078125,498.75103759765625,979.3748168945312,3134.557373046875,933.3789672851562,188.20362854003906
2023-02-02,4190.87109375,866.1553955078125,997.841064453125,3206.462646484375,856.6994018554688,1024.9432373046875,771.4803466796875,837.1736450195312,1452.5006103515625,351.2696838378906,17610.400390625,499.4603271484375,972.3302612304688,3182.42578125,926.9057006835938,191.50094604492188
2023-02-03,4210.77880859375,880.2680053710938,994.9213256835938,2830.9033203125,854.3959350585938,1021.8675537109375,798.1610107421875,842.9310913085938,1466.8533935546875,354.96832275390625,17854.05078125,514.687255859375,992.1610107421875,3202.56640625,922.0280151367188,190.7760009765625
2023-02-06,4279.21533203125,880.3179321289062,1002.2205810546875,2726.52392578125,852.6707763671875,1021.46630859375,794.7688598632812,833.0751342773438,1439.75244140625,348.3287353515625,17764.599609375,515.822265625,987.5288696289062,3182.012451171875,916.6032104492188,189.2559814453125
2023-02-07,4274.16455078125,876.7772216796875,1003.6803588867188,2699.876953125,870.4513549804688,1005.9085693359375,795.9476318359375,832.1480712890625,1432.919677734375,353.9913024902344,17721.5,517.429931640625,971.17236328125,3193.599365234375,913.959228515625,187.31500244140625
2023-02-08,4349.087890625,869.4467163085938,1011.2713623046875,2747.18359375,879.7728881835938,1020.8421630859375,795.8513793945312,838.3446044921875,1458.691162109375,352.01739501953125,17871.69921875,519.9362182617188,984.8809204101562,3237.330322265625,921.800048828125,190.23814392089844
2023-02-09,4347.15625,865.4074096679688,994.1427612304688,2770.837158203125,879.7140502929688,1022.0459594726562,794.19140625,840.0036010742188,1482.994873046875,353.0940856933594,17893.44921875,520.9293212890625,978.85302734375,3256.413330078125,926.3131103515625,190.9630584716797
2023-02-10,4373.84814453125,864.9585571289062,1005.529296875,2759.157470703125,882.0861206054688,994.6746826171875,797.3430786132812,833.221435546875,1475.2452392578125,353.3233642578125,17856.5,523.0573120117188,978.6585083007812,3253.378662109375,927.5439453125,189.79380798339844
2023-02-13,4316.80078125,856.830078125,994.5807495117188,2721.8125,887.006591796875,992.3120727539062,797.9445190429688,830.0988159179688,1437.55126953125,353.67230224609375,17770.900390625,508.3505859375,987.0684814453125,3202.658203125,914.0047607421875,187.3617706298828
2023-02-14,4227.86376953125,868.4493408203125,1000.809326171875,2739.9208984375,889.6923217773438,1003.4119262695312,805.3303833007812,844.3948364257812,1461.213134765625,352.98443603515625,17929.849609375,511.5188903808594,978.804443359375,3218.936767578125,922.7117919921875,189.46641540527344
2023-02-15,4444.8095703125,866.0057983398438,1003.1937255859375,2770.24853515625,886.0558471679688,1010.0543212890625,803.6945190429688,849.7620239257812,1464.698486328125,356.0050964355469,18015.849609375,512.843017578125,967.7694702148438,3237.836181640625,976.8226928710938,190.5421600341797
2023-02-16,4598.56884765625,862.4652099609375,1007.7678833007812,2823.296630859375,885.947998046875,1005.8193359375,800.783447265625,848.4446411132812,1469.0546875,356.4936218261719,18035.849609375,510.80963134765625,967.5264282226562,3272.23193359375,1030.4776611328125,191.71139526367188
2023-02-17,4570.392578125,852.6412353515625,998.2789306640625,2777.364013671875,884.1934814453125,989.2362670898438,796.7657470703125,841.8088989257812,1452.54638671875,350.77117919921875,17944.19921875,502.2031555175781,957.1719970703125,3219.902587890625,1029.5205078125,190.0276641845703
2023-02-20,4566.33154296875,844.5127563476562,938.1826782226562,2846.85205078125,877.2244262695312,994.7192993164062,789.2835083007812,831.5137939453125,1460.4794921875,346.3946533203125,17844.599609375,496.67041015625,957.0748291015625,3207.16455078125,1043.196044921875,190.37844848632812
2023-02-21,4458.8232421875,841.8198852539062,940.0804443359375,2864.5185546875,879.449462890625,985.35791015625,792.24267578125,833.56298828125,1448.6026611328125,344.97900390625,17826.69921875,495.0625915527344,944.6300659179688,3173.781005859375,1034.306884765625,188.36734008789062
2023-02-22,4406.38232421875,831.1481323242188,936.771484375,2866.432373046875,877.5968627929688,974.124267578125,776.7009887695312,818.9742431640625,1432.3695068359375,339.06719970703125,17554.30078125,488.3475646972656,941.6646728515625,3128.303466796875,1026.3292236328125,184.81277465820312
2023-02-23,4405.34228515625,842.1190185546875,934.5818481445312,2819.959716796875,872.2842407226562,975.684326171875,771.4321899414062,819.462158203125,1422.1893310546875,340.38311767578125,17511.25,492.7454528808594,945.505126953125,3139.569091796875,1029.15576171875,184.2515411376953
2023-02-24,4433.7060546875,849.1505126953125,936.0416259765625,2861.181396484375,880.4197998046875,976.1300659179688,764.5514526367188,819.413330078125,1422.1435546875,338.4192199707031,17465.80078125,492.7926940917969,943.5606079101562,3127.29150390625,1020.2208862304688,183.94754028320312
2023-02-27,4403.0615234375,852.0926513671875,924.7523193359375,2805.5322265625,866.6776733398438,966.4119262695312,766.4520874023438,835.7099609375,1384.220458984375,344.13165283203125,17392.69921875,499.0821228027344,938.261962890625,3064.2021484375,1015.61669921875,182.56781005859375
2023-02-28,4365.275390625,841.8697509765625,882.1253662109375,2773.241943359375,846.21142578125,960.7505493164062,769.6759643554688,834.1973266601562,1364.272705078125,344.78961181640625,17303.94921875,494.4478454589844,930.04638671875,3046.728515625,1003.1257934570312,181.02438354492188
2023-03-01,4377.3251953125,862.8641357421875,875.5073852539062,2792.57666015625,851.6220703125,981.7021484375,768.93017578125,835.6123046875,1372.0684814453125,347.9100341796875,17450.900390625,507.593994140625,932.6715087890625,3113.726806640625,1027.4234619140625,182.8484344482422
2023-03-02,4365.82177734375,843.2161865234375,862.7096557617188,2808.1328125,860.7180786132812,986.026611328125,762.38623046875,833.3678588867188,1350.149169921875,343.28424072265625,17321.900390625,504.8039855957031,938.5049438476562,3054.637451171875,1011.8330078125,181.49209594726562
2023-03-03,4371.87109375,850.397216796875,855.1184692382812,2797.582275390625,870.0004272460938,997.6613159179688,777.51904296875,847.56640625,1356.7066650390625,349.12628173828125,17594.349609375,530.7653198242188,940.0606079101562,3073.6748046875,989.3589477539062,182.61460876464844
2023-03-06,4384.5654296875,857.2290649414062,857.3082275390625,2794.048828125,870.2454833984375,1004.5264892578125,783.0043334960938,846.78564453125,1382.523681640625,349.12628173828125,17711.44921875,531.2382202148438,938.4563598632812,3100.989013671875,993.8265991210938,184.1580047607422
