Date,Ticker,Sector,Open,High,Low,Close,Adj Close,Volume
2023-01-02,APOLLOHOSP,Pharma,4488.0,4516.7001953125,4446.0,4454.35009765625,4411.58251953125,246577
2023-01-03,APOLLOHOSP,Pharma,4467.0,4508.9501953125,4425.10009765625,4490.89990234375,4447.78125,430096
2023-01-04,APOLLOHOSP,Pharma,4495.0,4514.10009765625,4425.0,4433.2998046875,4390.73388671875,414977
2023-01-05,APOLLOHOSP,Pharma,4455.5,4455.5,4356.0,4429.0498046875,4386.52392578125,468816
2023-01-06,APOLLOHOSP,Pharma,4442.0498046875,4474.2998046875,4369.0,4387.4501953125,4345.32373046875,299640
2023-01-09,APOLLOHOSP,Pharma,4424.35009765625,4452.14990234375,4381.0498046875,4407.7001953125,4365.3798828125,407803
2023-01-10,APOLLOHOSP,Pharma,4410.0,4489.0,4406.0,4466.64990234375,4423.763671875,557940
2023-01-11,APOLLOHOSP,Pharma,4474.0,4482.4501953125,4336.0498046875,4360.60009765625,4318.732421875,462687
2023-01-12,APOLLOHOSP,Pharma,4370.9501953125,4382.39990234375,4325.25,4359.75,4317.89013671875,207917
2023-01-13,APOLLOHOSP,Pharma,4365.0,4370.0,4268.0498046875,4335.5498046875,4293.92236328125,366497
2023-01-16,APOLLOHOSP,Pharma,4364.25,4364.25,4285.0,4294.64990234375,4253.41552734375,210854
2023-01-17,APOLLOHOSP,Pharma,4316.2001953125,4336.4501953125,4275.0,4322.85009765625,4281.34521484375,294500
2023-01-18,APOLLOHOSP,Pharma,4337.0,4352.0,4305.0,4339.7998046875,4298.13232421875,331806
2023-01-19,APOLLOHOSP,Pharma,4339.7998046875,4339.7998046875,4285.64990234375,4318.14990234375,4276.68896484375,162244
2023-01-20,APOLLOHOSP,Pharma,4302.0,4322.4501953125,4264.2001953125,4285.25,4244.10595703125,242706
2023-01-23,APOLLOHOSP,Pharma,4294.39990234375,4353.5,4286.89990234375,4335.4501953125,4293.8232421875,161350
2023-01-24,APOLLOHOSP,Pharma,4349.9501953125,4349.9501953125,4290.7998046875,4305.0,4263.66552734375,178860
2023-01-25,APOLLOHOSP,Pharma,4314.9501953125,4318.0,4194.0,4224.35009765625,4183.79052734375,423714
2023-01-27,APOLLOHOSP,Pharma,4228.0,4285.35009765625,4192.10009765625,4244.14990234375,4203.39990234375,421866
2023-01-30,APOLLOHOSP,Pharma,4236.5,4260.0,4123.0,4237.7001953125,4197.0126953125,623069
2023-01-31,APOLLOHOSP,Pharma,4239.5,4303.75,4127.0498046875,4255.89990234375,4215.037109375,671038
2023-02-01,APOLLOHOSP,Pharma,4275.0,4352.0,4211.5,4262.64990234375,4221.72216796875,321331
2023-02-02,APOLLOHOSP,Pharma,4262.0,4262.0,4170.0,4231.5,4190.87109375,479256
2023-02-03,APOLLOHOSP,Pharma,4245.0,4259.7998046875,4158.0,4251.60009765625,4210.77880859375,413966
2023-02-06,APOLLOHOSP,Pharma,4211.0,4335.64990234375,4189.64990234375,4320.7001953125,4279.21533203125,257669
2023-02-07,APOLLOHOSP,Pharma,4305.0,4360.0,4271.35009765625,4315.60009765625,4274.16455078125,319090
2023-02-08,APOLLOHOSP,Pharma,4320.0,4404.2998046875,4302.5498046875,4391.25,4349.087890625,250175
2023-02-09,APOLLOHOSP,Pharma,4347.35009765625,4404.4501953125,4325.0,4389.2998046875,4347.15625,284239
2023-02-10,APOLLOHOSP,Pharma,4385.39990234375,4425.2998046875,4350.25,4416.25,4373.84814453125,359807
2023-02-13,APOLLOHOSP,Pharma,4430.39990234375,4439.60009765625,4328.0,4358.64990234375,4316.80078125,272935
2023-02-14,APOLLOHOSP,Pharma,4380.4501953125,4380.4501953125,4251.0498046875,4268.85009765625,4227.86376953125,339582
2023-02-15,APOLLOHOSP,Pharma,4170.0,4514.0,4170.0,4487.89990234375,4444.8095703125,2724361
2023-02-16,APOLLOHOSP,Pharma,4509.9501953125,4668.0,4500.14990234375,4643.14990234375,4598.56884765625,1419679
2023-02-17,APOLLOHOSP,Pharma,4640.14990234375,4668.9501953125,4576.0,4614.7001953125,4570.392578125,408098
2023-02-20,APOLLOHOSP,Pharma,4593.0,4649.9501953125,4575.35009765625,4610.60009765625,4566.33154296875,232327
2023-02-21,APOLLOHOSP,Pharma,4611.0,4640.0,4491.0,4502.0498046875,4458.8232421875,490637
2023-02-22,APOLLOHOSP,Pharma,4505.0,4535.9501953125,4440.0,4449.10009765625,4406.38232421875,333978
2023-02-23,APOLLOHOSP,Pharma,4471.35009765625,4518.2998046875,4401.0,4448.0498046875,4405.34228515625,443522
2023-02-24,APOLLOHOSP,Pharma,4455.0498046875,4486.0,4396.89990234375,4470.64990234375,4433.7060546875,358946
2023-02-27,APOLLOHOSP,Pharma,4485.0,4494.75,4415.0498046875,4439.75,4403.0615234375,215703
2023-02-28,APOLLOHOSP,Pharma,4449.0,4473.39990234375,4361.2998046875,4401.64990234375,4365.275390625,312308
2023-03-01,APOLLOHOSP,Pharma,4401.64990234375,4446.0,4337.25,4413.7998046875,4377.3251953125,287008
2023-03-02,APOLLOHOSP,Pharma,4429.0,4450.2001953125,4381.35009765625,4402.2001953125,4365.82177734375,313250
2023-03-03,APOLLOHOSP,Pharma,4416.75,4445.0,4393.89990234375,4408.2998046875,4371.87109375,168868
2023-03-06,APOLLOHOSP,Pharma,4416.0,4488.89990234375,4412.0498046875,4421.10009765625,4384.5654296875,242661
2023-03-08,APOLLOHOSP,Pharma,4414.89990234375,4441.2001953125,4360.0,4376.0498046875,4339.8876953125,246734
2023-03-09,APOLLOHOSP,Pharma,4399.0,4538.25,4385.14990234375,4418.14990234375,4381.64013671875,684685
2023-03-10,APOLLOHOSP,Pharma,4399.7001953125,4399.7001953125,4291.64990234375,4317.25,4281.57373046875,328154
2023-03-13,APOLLOHOSP,Pharma,4327.0,4435.9501953125,4322.0,4345.0,4309.09423828125,496455
2023-03-14,APOLLOHOSP,Pharma,4345.0,4354.75,4275.0,4299.60009765625,4264.0693359375,279237
2023-03-15,APOLLOHOSP,Pharma,4334.75,4367.9501953125,4309.2998046875,4328.7998046875,4293.0283203125,279479
2023-03-16,APOLLOHOSP,Pharma,4330.9501953125,4370.0,4266.0,4319.0498046875,4283.35888671875,300181
2023-03-17,APOLLOHOSP,Pharma,4340.0,4376.2001953125,4296.7001953125,4346.5,4310.58251953125,368653
2023-03-20,APOLLOHOSP,Pharma,4322.0,4353.89990234375,4195.0,4313.0,4277.3583984375,563835
2023-03-21,APOLLOHOSP,Pharma,4320.0,4353.89990234375,4266.0,4274.0,4238.68115234375,239304
2023-03-22,APOLLOHOSP,Pharma,4275.0498046875,4295.0,4211.10009765625,4285.10009765625,4249.689453125,302705
2023-03-23,APOLLOHOSP,Pharma,4276.0,4299.35009765625,4243.5498046875,4273.0498046875,4237.73828125,233054
2023-03-24,APOLLOHOSP,Pharma,4277.5,4354.64990234375,4261.0,4283.35009765625,4247.9541015625,354933
2023-03-27,APOLLOHOSP,Pharma,4304.7001953125,4407.89990234375,4277.0,4318.10009765625,4282.4169921875,495895
2023-03-28,APOLLOHOSP,Pharma,4334.7998046875,4343.5,4245.0498046875,4333.60009765625,4297.78857421875,343628
2023-03-29,APOLLOHOSP,Pharma,4333.60009765625,4380.0,4311.10009765625,4363.0,4326.9453125,250790
2023-03-31,APOLLOHOSP,Pharma,4384.85009765625,4400.9501953125,4299.9501953125,4310.89990234375,4275.2763671875,465663
2023-04-03,APOLLOHOSP,Pharma,4343.5,4343.9501953125,4220.14990234375,4234.35009765625,4199.35888671875,493574
2023-04-05,APOLLOHOSP,Pharma,4250.0,4250.0,4168.0,4200.9501953125,4166.23486328125,622533
2023-04-06,APOLLOHOSP,Pharma,4217.0,4225.0,4183.14990234375,4201.9501953125,4167.22705078125,286725
2023-04-10,APOLLOHOSP,Pharma,4215.0,4243.64990234375,4187.2998046875,4237.0,4201.98681640625,323560
2023-04-11,APOLLOHOSP,Pharma,4263.0,4286.7998046875,4221.14990234375,4271.2998046875,4236.00390625,284178
2023-04-12,APOLLOHOSP,Pharma,4287.7001953125,4328.9501953125,4266.5,4320.2001953125,4284.50048828125,304498
2023-04-13,APOLLOHOSP,Pharma,4329.0,4481.10009765625,4320.2998046875,4398.2998046875,4361.9541015625,1257056
2023-04-17,APOLLOHOSP,Pharma,4410.0,4448.39990234375,4340.0,4386.7001953125,4350.44921875,334963
2023-04-18,APOLLOHOSP,Pharma,4380.0,4384.10009765625,4293.89990234375,4338.64990234375,4302.79638671875,409038
2023-04-19,APOLLOHOSP,Pharma,4355.0,4355.0,4221.5498046875,4320.2998046875,4284.59765625,517278
2023-04-20,APOLLOHOSP,Pharma,4320.2998046875,4358.85009765625,4233.14990234375,4348.39990234375,4312.46630859375,484517
2023-04-21,APOLLOHOSP,Pharma,4340.0,4428.0,4318.4501953125,4361.2998046875,4325.259765625,485292
2023-04-24,APOLLOHOSP,Pharma,4362.2998046875,4462.2001953125,4362.2998046875,4399.0498046875,4362.69775390625,571150
