Ticker,Sector,Date,Return_1d,Return_5d,Return_20d,Return_60d,Vol_5d,Vol_20d,Vol_60d,SMA_10_ratio,SMA_50_ratio,SMA_200_ratio,SMA_50_200_ratio,RSI_14,MACD,MACD_signal,MACD_hist,Beta_60d,Volume_ratio_20d,Rel_return_20d,Target
APOLLOHOSP,Pharma,2023-01-02,,,,,,,,,,,,,0.0,0.0,0.0,,,,0
APOLLOHOSP,Pharma,2023-01-03,0.008205384418967343,,,,,,,,,,,,0.8121510041064539,0.4511950022813633,0.36095600182509063,,,,0
APOLLOHOSP,Pharma,2023-01-04,-0.012826027197549328,,,,,,,,,,,,-0.7341937413066262,-0.03462005656617335,-0.6995736847404528,,,,0
APOLLOHOSP,Pharma,2023-01-05,-0.0009588285343902214,,,,,,,,,,,,-1.5715074570998695,-0.5552458697550947,-1.0162615873447747,,,,0
APOLLOHOSP,Pharma,2023-01-06,-0.009392447416130767,,,,,,,,,,,,-3.6328576089217677,-1.4707657826438003,-2.162091826277967,,,,0
APOLLOHOSP,Pharma,2023-01-09,0.004615571494275494,-0.0020712694469654956,,,0.008955800388122133,,,,,,,,-3.946110139346274,-2.14172172979405,-1.804388409552224,,,,1
APOLLOHOSP,Pharma,2023-01-10,0.013374274548790144,-0.0010374914210009357,,,0.010588167593797203,,,,,,,,-1.4341476364652408,-1.96265360313166,0.5285059666664191,,,,0
APOLLOHOSP,Pharma,2023-01-11,-0.023742509272762002,-0.0032207878360434707,,,0.014152310020730613,,,,,,,,-4.72200661833358,-2.625778022329633,-2.096228596003947,,,,1
APOLLOHOSP,Pharma,2023-01-12,-0.00019503064185766306,-0.0030680282575369588,,,0.014186909326586892,,,,,,,,-6.968728626614393,-3.629021157408462,-3.3397074692059308,,,,1
APOLLOHOSP,Pharma,2023-01-13,-0.005550806685348797,-0.002299700111380565,,,0.01385900298804293,,,0.9825541955724133,,,,,-9.695670136569788,-4.9883026972305355,-4.707367439339253,,,,1
APOLLOHOSP,Pharma,2023-01-16,-0.009433527788924922,-0.005109519968020648,,,0.0135266674860199,,,0.9768205979522527,,,,,-13.688252369321162,-6.891801974527678,-6.796450394793484,,,,0
APOLLOHOSP,Pharma,2023-01-17,0.00656641405488112,-0.006471092066802453,,,0.01137200857122387,,,0.9870074414180828,,,,,-14.894983075831988,-8.610549634632141,-6.284433441199846,,,,1
APOLLOHOSP,Pharma,2023-01-18,0.003920989439673672,-0.000938392324315318,,,0.006594125971429008,,,0.9929973442496796,,,,,-14.644066104528974,-9.887451342370792,-4.756614762158183,,,,1
APOLLOHOSP,Pharma,2023-01-19,-0.0049889946975743005,-0.0018971851354586456,,,0.0068041965732572466,,,0.9905568402659762,,,,35.13092826341091,-15.508830558925183,-11.063448068673525,-4.445382490251658,,,,1
APOLLOHOSP,Pharma,2023-01-20,-0.007618746203043147,-0.0023107730389975156,,,0.007136532769500383,,,0.9853200063141708,,,,32.77654582851267,-17.896643165776368,-12.479924937294891,-5.416718228481477,,,,1
APOLLOHOSP,Pharma,2023-01-23,0.01171443070922451,0.001918818660632371,,,0.008066068979128692,,,0.9985212857827023,,,,34.59514284765066,-16.46822237170909,-13.300686817283202,-3.1675355544258874,,,,1
APOLLOHOSP,Pharma,2023-01-24,-0.007023511016346795,-0.0007991663536132121,,,0.00839156986980194,,,0.9952133948354549,,,,36.56261101610198,-17.040779750208458,-14.06593731310745,-2.9748424371010085,,,,1
APOLLOHOSP,Pharma,2023-01-25,-0.018733880387132973,-0.005330140318974541,,,0.010936169929371882,,,0.9796548811198181,,,,31.518663924721125,-22.306177594809924,-15.744218597312623,-6.561958997497301,,,,1
APOLLOHOSP,Pharma,2023-01-27,0.00468698776189691,-0.003394943827080299,,,0.011831111509900231,,,0.986892216097514,,,,36.53194596838765,-24.823452947474834,-17.586617229889516,-7.236835717585318,,,,1
APOLLOHOSP,Pharma,2023-01-30,-0.001519533515640159,-0.0021751012895997015,,,0.011598894090414463,,,0.9876397638723088,,,,33.59703085784308,-26.880430963272374,-19.46706000571035,-7.413370957562023,,1.802361294657921,,1
APOLLOHOSP,Pharma,2023-01-31,0.0042945817349160365,-0.003659071084461396,-0.0022302604597037924,,0.009696187962462905,0.009805684035367631,,0.9927778608824352,,,,27.929456373357908,-26.95505248641166,-20.978599997543878,-5.976452488867782,,1.828845058446142,-0.0007651064983597022,1
APOLLOHOSP,Pharma,2023-02-01,0.001586002310366652,-0.0019371684191187067,-0.002561229565133827,,0.009713789668956948,0.009543109156678437,,0.9957507575938965,,,,37.048587435088756,-26.243237032324032,-22.039354390424123,-4.203882641899909,,0.8889297701191557,-0.0008698329962635975,1
APOLLOHOSP,Pharma,2023-02-02,-0.007307698846888755,0.00034806788893013694,-0.002285313147600798,,0.0049505650725948855,0.009307574781548492,,0.9909811966633014,,,,34.30021956215516,-27.476032163458513,-23.133146554348677,-4.342885609109835,,1.3141293251588246,-0.0010971230904300133,1
APOLLOHOSP,Pharma,2023-02-03,0.004750257022564819,0.0003607217410637187,-0.0019998588697530463,,0.004964489426325274,0.00943704353030244,,0.9972428388003513,,,,39.619119382748565,-26.740617518929866,-23.858064073460014,-2.8825534454698527,,1.1437035056010159,-0.0016442205924409037,1
APOLLOHOSP,Pharma,2023-02-06,0.01625269969009735,0.00391516838221122,-0.0007176015144416403,,0.008432582192525113,0.010098774994297103,,1.0126087442811473,,,,53.01122012601556,-21.097588012218694,-23.303875194823227,2.206287182604534,,0.7160383116858756,-0.0004802317643582965,1
APOLLOHOSP,Pharma,2023-02-07,-0.0011803054667974822,0.0028201909418685165,-0.0010073953624952891,,0.008721507768359065,0.010020535815179457,,1.0118842770071108,,,,49.11462547682349,-16.812176360111152,-22.00159954122609,5.189423181114936,,0.8977879567157544,2.8094546283891162e-05,1
APOLLOHOSP,Pharma,2023-02-08,0.017529353152782923,0.006008861110351771,-0.0007996414322956503,,0.010819622627039482,0.010371334494181594,,1.027543924925201,,,,55.49502453244085,-7.966060560440383,-19.187688124737946,11.221627564297563,,0.7357444458903963,-0.0007046035822984853,1
APOLLOHOSP,Pharma,2023-02-09,-0.0004441484452784028,0.007381571190673841,0.0003652766090785298,,0.008988128748151119,0.008856569117922259,,1.0231384481284245,,,,57.93300124560383,-1.1137507925150203,-15.565895091715888,14.452144299200867,,0.85844968406772,0.00034796518654291457,1
APOLLOHOSP,Pharma,2023-02-10,0.006140081698524202,0.007659536125865718,0.000682032226097623,,0.008907538842957802,0.00894828787345297,,1.0253074400207451,,,,64.80233617890798,6.169724471900736,-11.212033905132111,17.381758377032845,,1.0623118828550835,0.000663194919917781,1
APOLLOHOSP,Pharma,2023-02-13,-0.0130428312543448,0.001800429936977288,0.0003074309976478229,,0.01118567075989881,0.009369834960382016,,1.0091009274764609,,,,52.57839056880421,7.64069782959632,-7.436814062385986,15.077511891982306,,0.8171125556191738,0.0008037860223886528,1
APOLLOHOSP,Pharma,2023-02-14,-0.020602528637653883,-0.002084014697193992,-0.0002510190447886251,,0.015149588609637513,0.010270512572104656,,0.9880146527135054,,,,46.450762203681585,2.196437851672272,-5.508253725927392,7.704691577599664,,0.997420696665968,-0.0003738240589260533,1
APOLLOHOSP,Pharma,2023-02-15,0.051313337564162564,0.004672782185081936,0.001986327130675447,,0.02809075314818142,0.015417823352468909,,1.0333258855979948,,,,70.34667608573689,13.886632793914941,-1.6262007427124947,15.512833536627436,,5.89748268872258,0.002066427002407423,1
APOLLOHOSP,Pharma,2023-02-16,0.03459299547290606,0.011680210968718829,0.0035199274323370667,,0.03074035435324596,0.0170585517464748,,1.0590340651850043,,,,75.47573448771269,34.24950670365706,5.553491417099334,28.696015286557728,,2.7494677269746104,0.0038548484402023964,0
APOLLOHOSP,Pharma,2023-02-17,-0.006127182274461407,0.009226758174121708,0.003463018053492711,,0.031765510430979714,0.017090301593209175,,1.0438998245331055,,,,73.41326752438748,47.67693442147356,13.982454009770137,33.694480411703424,,0.7719778060495095,0.0038937490908628023,0
APOLLOHOSP,Pharma,2023-02-20,-0.0008885528074080717,0.011657613863509053,0.003799527723274465,,0.030054243534774663,0.016926086464627663,,1.0361771458018056,,,,72.42100381884215,57.32438444188756,22.654357838303493,34.67002660358406,,0.4399127774981699,0.004286335919392137,0
APOLLOHOSP,Pharma,2023-02-21,-0.023543691422667656,0.0110693813065063,0.0020366216166798567,,0.030861445323169253,0.017868238275492353,,1.0075598184128878,,,,63.40723585357328,56.12612939916744,29.350885297881995,26.775244101285445,,0.9009374937739283,0.0028256999422285713,0
